scheduling_algorithm,process_no,ni,batch_size,time_quantum,start_time,num_wait_iters,total_waiting_time,turn_around_time
fcfs,0,10000,100,2147483647,1636800683.438100014,100,00.000012,00.000166
fcfs,1,10000,100,2147483647,1636800683.438132154,100,00.002068,00.011347
fcfs,2,10000,100,2147483647,1636800683.438185888,100,00.012505,00.013559
fcfs,0,10000,100,2147483647,1636800683.457166503,100,00.000002,00.000157
fcfs,1,10000,100,2147483647,1636800683.457182364,100,00.001999,00.003519
fcfs,2,25000,100,2147483647,1636800683.457200462,250,00.004121,00.006305
fcfs,0,10000,100,2147483647,1636800683.469554002,100,00.000002,00.000156
fcfs,1,10000,100,2147483647,1636800683.469570469,100,00.002040,00.003537
fcfs,2,50000,100,2147483647,1636800683.469619991,500,00.004128,00.008116
fcfs,0,10000,100,2147483647,1636800683.481942908,100,00.000007,00.000168
fcfs,1,10000,100,2147483647,1636800683.481971478,100,00.002026,00.003547
fcfs,2,75000,100,2147483647,1636800683.481998701,750,00.004114,00.010093
fcfs,0,10000,100,2147483647,1636800683.496298968,100,00.000008,00.000162
fcfs,1,10000,100,2147483647,1636800683.496337520,100,00.002027,00.003521
fcfs,2,100000,100,2147483647,1636800683.496359943,1000,00.004154,00.012091
fcfs,0,10000,100,2147483647,1636800683.512770069,100,00.000002,00.000156
fcfs,1,10000,100,2147483647,1636800683.512826707,100,00.002063,00.003609
fcfs,2,250000,100,2147483647,1636800683.512853966,2500,00.004194,00.023825
fcfs,0,10000,100,2147483647,1636800683.542844552,100,00.000002,00.000156
fcfs,1,10000,100,2147483647,1636800683.542864750,100,00.001966,00.003533
fcfs,2,500000,100,2147483647,1636800683.542884985,5000,00.004251,00.043930
fcfs,0,10000,100,2147483647,1636800683.593203949,100,00.000002,00.000156
fcfs,1,10000,100,2147483647,1636800683.593189621,100,00.002052,00.003525
fcfs,2,750000,100,2147483647,1636800683.593245163,7500,00.004295,00.064467
fcfs,0,10000,100,2147483647,1636800683.662114285,100,00.000002,00.000157
fcfs,1,10000,100,2147483647,1636800683.662106775,100,00.002064,00.003582
fcfs,2,1000000,100,2147483647,1636800683.662153216,10000,00.004297,00.082908
fcfs,0,10000,100,2147483647,1636800683.750796406,100,00.000002,00.000156
fcfs,1,25000,100,2147483647,1636800683.750789036,250,00.002048,00.005772
fcfs,2,10000,100,2147483647,1636800683.750834804,100,00.006211,00.007026
fcfs,0,10000,100,2147483647,1636800683.763270071,100,00.000002,00.000157
fcfs,1,25000,100,2147483647,1636800683.763263451,250,00.002070,00.005785
fcfs,2,25000,100,2147483647,1636800683.763311544,250,00.008208,00.010175
fcfs,0,10000,100,2147483647,1636800683.777462955,100,00.000006,00.000160
fcfs,1,25000,100,2147483647,1636800683.777466889,250,00.002038,00.005728
fcfs,2,50000,100,2147483647,1636800683.777518898,500,00.006190,00.010093
fcfs,0,10000,100,2147483647,1636800683.792373691,100,00.000002,00.000157
fcfs,1,25000,100,2147483647,1636800683.792390614,250,00.002058,00.005954
fcfs,2,75000,100,2147483647,1636800683.792415466,750,00.006210,00.012447
fcfs,0,10000,100,2147483647,1636800683.811058622,100,00.000002,00.000157
fcfs,1,25000,100,2147483647,1636800683.811072567,250,00.002046,00.005748
fcfs,2,100000,100,2147483647,1636800683.811107289,1000,00.006203,00.014031
fcfs,0,10000,100,2147483647,1636800683.829572440,100,00.000008,00.000162
fcfs,1,25000,100,2147483647,1636800683.829564852,250,00.002104,00.005806
fcfs,2,250000,100,2147483647,1636800683.829651230,2500,00.006242,00.026082
fcfs,0,10000,100,2147483647,1636800683.860823192,100,00.000003,00.000158
fcfs,1,25000,100,2147483647,1636800683.860838771,250,00.002083,00.005770
fcfs,2,500000,100,2147483647,1636800683.860906578,5000,00.008313,00.047083
fcfs,0,10000,100,2147483647,1636800683.913841872,100,00.000002,00.000156
fcfs,1,25000,100,2147483647,1636800683.913823260,250,00.002072,00.005995
fcfs,2,750000,100,2147483647,1636800683.913871887,7500,00.006326,00.064528
fcfs,0,10000,100,2147483647,1636800683.982853947,100,00.000008,00.000163
fcfs,1,25000,100,2147483647,1636800683.982867800,250,00.002035,00.005744
fcfs,2,1000000,100,2147483647,1636800683.982911229,10000,00.006352,00.083362
fcfs,0,10000,100,2147483647,1636800684.070818025,100,00.000002,00.000156
fcfs,1,50000,100,2147483647,1636800684.070791746,500,00.002084,00.009552
